symbol,newshares,oldshares,date,
CONCOR,2,1,2008-04-16,
CENTURYPLY,10,1,2008-04-24,
EVINIX,10,1,2008-04-29,
TANLA,2,1,2008-05-02,
NMDC,3,1,2008-05-21,
RPOWER,8,5,2008-05-30,
EASTSILK,5,1,2008-06-27,
MIC,5,1,2008-06-27,
BIRLAMONEY,10,1,2008-07-11,
TRICOM,5,1,2008-07-15,
MOTILALOFS,5,1,2008-07-25,
IVC,3,2,2008-07-28,
IIFL,5,1,2008-08-08,
VEDL,20,1,2008-08-08,
HDIL,9,7,2008-08-21,
SUNDARMFIN,2,1,2008-08-22,
SONASTEER,2,1,2008-09-02,
JMFINANCIL,25,1,2008-09-08,
BIOCON,2,1,2008-09-11,
AICHAMP,2,1,2008-09-11,
ERAINFRA,5,1,2008-09-17,
GEMINI,5,1,2008-09-17,
HERCULES,10,1,2008-09-17,
TAKE,10,1,2008-09-18,
BLISSGVS,8,5,2008-09-26,
MMFL,2,1,2008-09-26,
SANWARIA,2,1,2008-09-26,
AROGRANITE,3,2,2008-09-26,
LT,2,1,2008-10-01,
RAMCOCEM,20,1,2008-10-01,
VALECHAENG,3,2,2008-10-01,
GAIL,3,2,2008-10-06,
HIRECT,2,1,2008-10-06,
AIAENG,5,1,2008-10-13,
AMARAJABAT,3,2,2008-10-14,
GMDCLTD,2,1,2008-10-16,
GUJNRECOKE,7,5,2008-10-17,
SCI,3,2,2008-10-29,
TIMETECHNO,10,1,2008-10-29,
UPL,2,1,2008-10-29,
OPTOCIRCUI,17,10,2008-11-03,
JINDRILL,2,1,2008-11-06,
RATNAMANI,5,1,2008-11-06,
NECLIFE,10,1,2008-11-12,
JYOTHYLAB,5,1,2008-12-12,
GUJAPOLLO,3,2,2008-12-19,
TEXINFRA,10,1,2009-01-01,
REIAGROLTD,10,1,2009-02-05,
PDUMJEPULP,5,1,2009-03-23,
BIRLAPOWER,10,1,2009-04-24,
TCS,2,1,2009-06-16,
DOLPHINOFF,7,5,2009-06-29,
BHARTIARTL,2,1,2009-07-24,
DIVISLAB,2,1,2009-07-30,
AUSTRAL,10,1,2009-08-07,
ORIENTABRA,2,1,2009-08-12,
GLODYNE,2,1,2009-08-20,
SHREEASHTA,10,1,2009-08-20,
COUNCODOS,3,1,2009-09-04,
NAVNETEDUL,5,2,2009-09-08,
JINDALSTEL,6,1,2009-09-14,
RAMCOIND,20,1,2009-09-14,
IVC,5,1,2009-09-16,
MVL,5,1,2009-09-18,
GMRINFRA,2,1,2009-10-01,
GOKUL,5,1,2009-10-14,
SWELECTES,2,1,2009-10-14,
FCSSOFT,10,1,2009-10-15,
BIRLACOT,10,1,2009-10-23,
GAMMNINFRA,5,1,2009-10-26,
REISIXTEN,5,1,2009-10-26,
EDUCOMP,5,1,2009-10-27,
IOC,2,1,2009-10-29,
MADHUCON,2,1,2009-11-05,
ADSL,2,1,2009-11-11,
HINDNATGLS,5,1,2009-11-12,
ALLCARGO,5,1,2009-11-19,
HBLPOWER,10,1,2009-11-24,
RELIANCE,2,1,2009-11-26,
JINDALSAW,5,1,2009-12-10,
ADANIENT,2,1,2009-12-10,
JKLAKSHMI,2,1,2009-12-17,
JPASSOCIAT,3,2,2009-12-17,
INFOMEDIA,3,2,2009-12-18,
NUTEK,2,1,2009-12-23,
WEBELSOLAR,2,1,2009-12-29,
LITL,10,1,2010-01-04,
BAJAJELEC,5,1,2010-01-28,
SHREEASHTA,5,1,2010-02-01,
CCCL,5,1,2010-02-10,
KRBL,10,1,2010-02-10,
FCSSOFT,2,1,2010-02-26,
CROMPGREAV,7,4,2010-03-08,
STRTECH,5,1,2010-03-09,
HINDDORROL,2,1,2010-03-15,
PIDILITIND,2,1,2010-03-15,
RENUKA,2,1,2010-03-15,
IVRCLINFRA,2,1,2010-03-18,
MURLIIND,5,1,2010-03-18,
SUPRAJIT,10,1,2010-03-18,
IPCALAB,5,1,2010-03-22,
MM,2,1,2010-03-29,
CADILAHC,3,2,2010-04-05,
UNITY,5,1,2010-04-07,
ENGINERSIN,6,1,2010-05-06,
GUJNRECOKE,11,10,2010-05-06,
KABRAEXTRU,2,1,2010-05-17,
IVRCLAH,3,2,2010-05-20,
REIAGROLTD,3,2,2010-06-07,
RALLIS,3,2,2010-06-08,
CYIENT,2,1,2010-06-10,
KWALITY,12,7,2010-06-15,
WIPRO,5,3,2010-06-15,
PANORAMUNI,6,1,2010-06-21,
RSSOFTWARE,128,100,2010-06-21,
GENESYS,2,1,2010-06-23,
KANSAINER,2,1,2010-06-23,
ORBITCORP,2,1,2010-06-29,
TATAGLOBAL,10,1,2010-06-30,
TULIP,5,1,2010-07-06,
NESCO,2,1,2010-07-20,
EMAMILTD,2,1,2010-07-21,
ZENSARTECH,2,1,2010-07-21,
ECLERX,3,2,2010-07-23,
MMTC,20,1,2010-07-29,
PRATIBHA,5,1,2010-07-30,
ITC,2,1,2010-08-03,
EDELWEISS,10,1,2010-08-10,
HCC,2,1,2010-08-10,
ZENITHBIR,6,5,2010-08-11,
JAYSREETEA,2,1,2010-08-13,
MAGMA,5,1,2010-08-13,
HDFC,5,1,2010-08-18,
AEGISCHEM,5,3,2010-08-18,
REDINGTON,5,1,2010-08-20,
ZODIACLOTH,3,2,2010-08-23,
LUPIN,5,1,2010-08-27,
INDIANHUME,5,1,2010-08-30,
KMSUGAR,5,1,2010-08-30,
CERA,2,1,2010-09-02,
KCP,10,1,2010-09-02,
APOLLOHOSP,2,1,2010-09-02,
NRBBEARING,2,1,2010-09-03,
KABRAEXTRU,2,1,2010-09-06,
BAJAJAUTO,2,1,2010-09-08,
BRITANNIA,5,1,2010-09-08,
DABUR,2,1,2010-09-08,
KALPATPOWR,5,1,2010-09-08,
TVSMOTOR,2,1,2010-09-08,
KOTAKBANK,2,1,2010-09-13,
PDPL,4,3,2010-09-13,
GILLANDERS,3,2,2010-09-14,
ASTRAL,2,1,2010-09-15,
KARURVYSYA,7,5,2010-09-16,
BHUSANSTL,5,1,2010-09-21,
SOUTHBANK,10,1,2010-09-23,
ADANIPORTS,5,1,2010-09-23,
DALMIASUG,3,1,2010-09-24,
NAUKRI,2,1,2010-09-27,
TI,3,1,2010-09-28,
BLKASHYAP,10,1,2010-09-29,
HAVELLS,2,1,2010-10-08,
PARSVNATH,2,1,2010-10-18,
SUPREMEIND,5,1,2010-10-18,
UNICHEMLAB,5,2,2010-10-21,
GENUSPOWER,10,1,2010-10-22,
JINDALPOLY,2,1,2010-10-22,
SINTEX,2,1,2010-10-27,
JISLJALEQS,5,1,2010-10-29,
PFOCUS,10,1,2010-10-29,
TEXINFRA,5,2,2010-11-01,
ARCHIES,5,1,2010-11-02,
NITINFIRE,5,1,2010-11-04,
HCIL,10,1,2010-11-08,
ATLANTA,5,1,2010-11-08,
ORIENTHOT,10,1,2010-11-10,
SOMANYCERA,5,1,2010-11-11,
ZEEL,2,1,2010-11-11,
MVL,2,1,2010-11-16,
BALAMINES,5,1,2010-11-18,
GREAVESCOT,5,1,2010-11-24,
SUNPHARMA,5,1,2010-11-25,
HITECHGEAR,2,1,2010-12-01,
SADBHAV,10,1,2010-12-07,
ELGIEQUIP,2,1,2010-12-14,
BALKRISIND,5,1,2010-12-20,
COROMANDEL,2,1,2010-12-23,
EIDPARRY,2,1,2010-12-23,
POLYPLEX,2,1,2010-12-23,
SURYAPHARM,10,1,2010-12-23,
KEC,5,1,2010-12-30,
LICHSGFIN,5,1,2010-12-30,
ASTRAMICRO,3,2,2010-12-30,
SHOPERSTOP,2,1,2011-01-12,
ONGC,4,1,2011-02-08,
GLODYNE,10,6,2011-02-10,
SREINFRA,9,5,2011-02-10,
AUROPHARMA,5,1,2011-02-10,
HEXAWARE,2,1,2011-02-24,
HINDZINC,10,1,2011-03-07,
NATIONALUM,4,1,2011-03-15,
SANWARIA,2,1,2011-04-07,
KSBPUMPS,2,1,2011-04-18,
ONMOBILE,2,1,2011-05-03,
TRIVENI,5,2,2011-05-03,
CMC,2,1,2011-06-08,
MANAPPURAM,2,1,2011-06-09,
RAIN,5,1,2011-06-15,
TITAN,20,1,2011-06-23,
HDFCBANK,5,1,2011-07-14,
RALLIS,10,1,2011-07-15,
ASHOKLEY,2,1,2011-08-02,
PIIND,2,1,2011-08-17,
DHANUS,17,5,2011-08-29,
NELCAST,5,1,2011-09-06,
TATAMOTORS,5,1,2011-09-12,
CUMMINSIND,7,5,2011-09-20,
INDNIPPON,7,5,2011-09-20,
NITINFIRE,7,2,2011-09-22,
ENTEGRA,17,13,2011-09-26,
TATAPOWER,10,1,2011-09-26,
JOCIL,2,1,2011-09-27,
ZODIACLOTH,3,2,2011-09-27,
