 SM_NEW_SYMBOL, SM_KEY_SYMBOL, SM_APPLICABLE_FROM
METKORE,CRONIMET,2012-04-02
ORIENTBELL,ORIENTCERA,2012-04-17
DHFL,DEWANHOUS,2012-05-22
STYABS,INEABS,2012-06-20
XCHANGING,CAMBRIDGE,2012-06-25
PGIL,HOPFL,2012-07-02
SWELECTES,NUMERICPW,2012-07-09
AIL,APIL,2012-07-11
SANOFI,AVENTIS,2012-07-11
WINSOMEDJ,SURAJDIAMN,2012-07-24
IIFLFIN,IIISL,2012-08-27
COUNCODOS,NEOCURE,2012-08-31
ACCELYA,KALECONSUL,2012-09-06
TARMAT,ROMAN,2012-09-12
PEL,PIRHEALTH,2012-09-21
PROZONECSC,PROZONE,2012-09-24
ZUARIGLOB,ZUARIAGRO,2012-09-25
SITICABLE,WWIL,2012-10-03
HIL,HYDRBADIND,2012-10-26
BSLIMITED,BSTRANSCOM,2012-11-29
CAPF,FCH,2012-12-06
VAIBHAVGBL,VAIBHAVGEM,2012-12-24
DALMIABHA,DALMIABEL,2013-01-09
LTFMPS6FD,FIFMPS6FD,2013-01-14
LTFMPS6FG,FIFMPS6FG,2013-01-14
LTFMPS6EG,FIFMPS6EG,2013-01-14
LTFMPS6ED,FIFMPS6ED,2013-01-14
SHIRPUR-G,AGEEGOLD,2013-01-17
LINDEINDIA,BOC,2013-04-10
FRLDVR,PRETAILDVR,2013-04-11
FRL,PANTALOONR,2013-04-11
UTTAMVALUE,LLOYDSTEEL,2013-04-29
TGBHOTELS,BHAGWATIHO,2013-05-31
JSWHL,JINDALSWHL,2013-07-30
ZEEMEDIA,ZEENEWS,2013-07-30
CGCL,MMFSL,2013-08-05
CINELINE,CINEPRO,2013-08-23
RAIN,RAINCOM,2013-08-23
DRDATSONS,AANJANEYA,2013-09-02
PRESSMN,NUCENT,2013-09-11
NAVNETEDUL,NAVNETPUBL,2013-09-19
UJAAS,MBSWITCH,2013-09-23
RAMCOCEM,MADRASCEM,2013-09-30
SSLT,SESAGOA,2013-10-04
FCEL,FVIL,2013-10-17
PIRPHYTO,PIRLIFE,2013-10-23
UPL,UNIPHOS,2013-10-23
PHOENIXLL,HALONIX,2013-10-30
NDL,NANDANEXIM,2013-11-21
VAKRANGEE,VAKRANSOFT,2013-11-27
IPRU8122,IPRU8112,2013-12-16
MAHINDCIE,MAHINDFORG,2013-12-17
DCBBANK,DCB,2014-01-15
PALRED,FOURSOFT,2014-01-16
IPAPPM,APPAPER,2014-01-21
SHRIASTER,ASTERSILI,2014-02-03
DCMSHRIRAM,DCMSRMCONS,2014-03-13
IIFL,INDIAINFO,2014-03-13
SKIL,HORIZONINF,2014-03-24
IGOLD,IPGETF,2014-05-05
ICNX100,ICCNX100,2014-05-05
INIFTY,NIFETF,2014-05-05
CYIENT,INFOTECENT,2014-05-22
DALMIAREF,SHRINATRAJ,2014-05-22
NOESISIND,MVLIND,2014-06-04
ISENSEX,SPICE,2014-08-18
SPICEMOBI,SMOBILITY,2014-08-19
SQSBFSI,THINKSOFT,2014-09-30
PROZONINTU,PROZONECSC,2014-10-07
AXISCADES,AXIS-IT&T,2014-10-08
CREST,SHARRESLTD,2014-10-16
TECHIN,NATHSEED,2014-10-31
DPL,DPTL,2014-11-12
SURANASOL,SURANAVEL,2014-11-19
RTNINFRA,IBIPL,2014-11-20
RTNPOWER,IBPOW,2014-11-20
SRIPIPES,LANCOIN,2014-12-17
A2ZINFRA,A2ZMES,2014-12-31
ELAND,MUDRA,2015-03-13
IBVENTURES,IBSEC,2015-04-01
EXCEL,EXCELINFO,2015-05-05
GULFPETRO,SAHPETRO,2015-05-06
VEDL,SSLT,2015-05-07
IZMO,LOGIXMICRO,2015-05-15
METALFORGE,AHMEDFORGE,2015-06-01
CASTEXTECH,AMTEKINDIA,2015-06-11
WELENT,WELPROJ,2015-06-24
PILITA,PILIND,2015-09-03
SPHEREGSL,COLORCHIPS,2015-10-13
SVOGL,SHIV-VANI,2015-10-23
GOCLCORP,GULFCORP,2015-11-10
SETFGOLD,SBIGETS,2015-11-24
SETFNIF50,SETFNIFTY,2015-11-24
SETFNIFBK,SETFBANK,2015-11-24
SETFNN50,SETFNIFJR,2015-11-24
KOTAKNV20,KTKNV20ETF,2015-12-21
ORCHIDPHAR,ORCHIDCHEM,2015-12-21
VIKASECO,VIKASGLOB,2015-12-21
LICNETFN50,LICNFENGP,2015-12-30
LICNETFGSC,LICNMFET,2015-12-30
LICNETFSEN,LICNFESGP,2015-12-30
ABFRL,PFRL,2016-01-29
AYMSYNTEX,WELSYNTEX,2016-02-03
BHARATIDIL,BHARTISHIP,2016-02-26
MFSL,MAX,2016-02-26
KAMDHENU,KIL,2016-03-18
RDEL,PIPAVAVDOC,2016-03-18
INEOSSTYRO,STYABS,2016-04-04
ARROWGREEN,ARROWCOAT,2016-05-11
DUCON,DYNATECH,2016-05-11
FEL,FRL,2016-05-13
FELDVR,FRLDVR,2016-05-13
IVZINGOLD,RELIGAREGO,2016-06-23
IVZINNIFTY,RELGRNIFTY,2016-06-23
IVZINA1BDG,RIMFAI1BDG,2016-06-23
IVZINA1BRG,RIMFAI1BRG,2016-06-23
